1, 98097145, 97291703, 98526728, 98011966, 97939670, 98439172, 98359841, 98005192, 98239427, 97957178, 
2, 151684638, 155897372, 156513998, 151568960, 158374191, 151135762, 174726716, 158084053, 159275199, 146608621, 
3, 156434713, 148909663, 153440430, 155389415, 156201588, 147558859, 156580981, 154850848, 156879680, 156514384, 
4, 160233218, 161031903, 160894608, 160455610, 160035321, 160616741, 158966920, 160223689, 160379421, 160568418, 
5, 149600186, 149301369, 151471586, 144346054, 150828620, 148749957, 150078655, 150875790, 148914332, 147382204, 
6, 150089383, 150289665, 150922469, 151047815, 151477064, 150384921, 150432911, 150933803, 149877881, 146591671, 
7, 144708421, 148871371, 147022473, 147422774, 146186061, 148383418, 147488371, 145244559, 145153564, 144300480, 
8, 144143706, 143394421, 143927907, 145465438, 145012222, 145104419, 143672984, 144283528, 145492920, 145493652, 
9, 152464890, 140840353, 141130967, 132278825, 140460697, 140322678, 137704386, 140129545, 140216296, 141961072, 
10, 128723775, 137563236, 137764649, 139147495, 138787661, 140472495, 138651787, 139324247, 135811898, 139614996, 
11, 127711571, 130605529, 137343865, 132469061, 135240704, 137333041, 137418513, 121534136, 135721532, 136423377, 
12, 136136049, 135562276, 135289549, 134689092, 134553346, 134731607, 134654962, 134376848, 134528156, 134189501, 
13, 134131453, 128921333, 133032508, 133344847, 126456153, 133902221, 133201639, 133375972, 133531674, 132765467, 
14, 132441683, 132922451, 133835979, 132183568, 132291126, 132352506, 133766204, 134049566, 133087772, 131985284, 
15, 132255212, 129187320, 129818542, 132272890, 130634921, 130965338, 132795139, 131606152, 123510951, 131725938, 
16, 129636226, 130474603, 130911400, 121382410, 128456835, 131031030, 130962554, 122208640, 121355713, 121113513, 
17, 119906611, 108351956, 114934054, 129027060, 129405476, 114432158, 73001913, 128759980, 109801135, 129531998, 
18, 128719560, 193434998, 128216459, 125659675, 121643885, 113005022, 123707583, 128042263, 129508444, 128549497, 
19, 104114587, 122590626, 126345316, 126930241, 127758457, 125926808, 123898929, 128891541, 128506765, 124655110, 
20, 92710748, 123365519, 79760290, 122012010, 107668328, 126166948, 107762379, 125170587, 127114720, 127670976, 
